LP;Miasto;Woj.;ogó³em;Mê¿czyŸni;Kobiety;xx;yy
1;M.st.Warszawa ; MAZOWIECKIE;1744351;800800;943551;52.259;21.020
2;Kraków ; MA£OPOLSKIE ;761069;354954;406115;50.1021977;19.9622348
3;£ódŸ ; £ÓDZKIE;700982;318978;382004;51.7763589;19.4841793
4;Wroc³aw ; DOLNOŒL¥SKIE;635759;296654;339105;51.1124045;17.0777521
5;Poznañ ; WIELKOPOLSKIE;542348;252870;289478;52.406374;16.9251681
6;Gdañsk ; POMORSKIE;462249;218901;243348;54.259247;18.66179
7;Szczecin ; ZACHODNIOPOMORSKIE;405657;192845;212812;53.4285438;14.5528116
8;Bydgoszcz ; KUJAWSKO-POMORSKIE;355645;167324;188321;53.1234804;18.0084378
9;Lublin ; LUBELSKIE;340727;156990;183737;51.218155;22.6502466
10;Katowice ; ŒL¥SKIE ;299910;142577;157333;50.3205161;18.8935424
11;Bia³ystok ; PODLASKIE;295981;138854;157127;53.1324886;23.1688403
12;Gdynia ; POMORSKIE;247478;117125;130353;54.5188898;18.5305409
13;Czêstochowa ; ŒL¥SKIE ;228179;107205;120974;50.85078;19.1289455
14;Radom ; MAZOWIECKIE;216159;102717;113442;51.3641532;21.1677456
15;Sosnowiec ; ŒL¥SKIE ;207381;98262;109119;50.3067629;19.1763179
16;Toruñ ; KUJAWSKO-POMORSKIE;202689;94247;108442;53.0140397;18.6143355
17;Kielce ; ŒWIÊTOKRZYSKIE;198046;93004;105042;50.8660773;20.6285676
18;Rzeszów ; PODKARPACKIE ;185896;87890;98006;50.0411867;21.9991196
19;Gliwice ; ŒL¥SKIE ;183392;88224;95168;50.2922599;18.6763635
20;Zabrze; ŒL¥SKIE ;176327;85083;91244;50.3205161;18.8935424
21;Olsztyn; WARMIÑSKO-MAZURSKIE;173444;80644;92800;53.778422;20.4801192
22;Bielsko-Bia³a; ŒL¥SKIE ;172591;81411;91180;49.8263342;19.0482676
23;Bytom ; ŒL¥SKIE ;170761;81639;89122;50.3205161;18.8935424
24;Ruda Œl¹ska; ŒL¥SKIE ;139844;67685;72159;50.3205161;18.8935424
25;Rybnik; ŒL¥SKIE ;139595;68087;71508;50.1021742;18.5462847
26;Zielona Góra ; LUBUSKIE;138711;65865;72846;51.9356214;15.5061862
27;Tychy ; ŒL¥SKIE ;128444;61938;66506;50.1053544;19.0118686
28;Gorzów Wielkopolski ; LUBUSKIE;123762;58972;64790;52.7325285;15.2369305
29;D¹browa Górnicza ; ŒL¥SKIE ;122712;58983;63729;50.3067629;19.1763179
30;P³ock ; MAZOWIECKIE;121731;57478;6425;52.5470264;19.7208479
